Seychelles,Aldabra,Alphonse,"Anse Aux Pins","Anse Boileau","Anse Etoile","Anse Royale",Aride,Assumption,Astove,"Au Cap","Baie Lazare","Beau Vallon","Bel Air",Belombre,Bijoutier,Bird,Cascade,"Cerf Island",Conception,Cosmoledo,Cousin,Cousine,Curieuse,Darros,Denis,Desnoeufs,Desroches,"English River",Farquhar,Felicite,Fregate,Glacis,"Grand Anse Mahe","Grande Soeur","Ile du Sud","La Digue","Les Mamelles",Marie-Louise,"Mont Buxton","Mont Fleuri","North Island","Petite Soeur",Plaisance,Platte,"Pointe Larue",Poivre,"Port Glaud",Praslin,Providence,Remire,"Roche Caiman",Silhouette,"St Louis","St. Francois","St. Joseph Atoll","St. Pierre","Ste Anne",Takamaka,Therese,Coetivy
1922,26.41,26.93,27.05,27.05,26.19,26.12,27.05,27.05,27.05,27.05,27.05,26.24,26.12,26.12,26.12,26.12,26.12,26.28,26.12,26.12,26.28,26.12,26.12,26.28,26.12,26.12,26.12,27.05,26.12,27.05,26.12,27.05,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,27.05,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.91,26.12,26.91
1923,26.17,26.98,26.81,26.81,25.95,25.88,26.81,26.81,26.81,26.81,26.81,26.00,25.88,25.88,25.88,25.88,25.88,26.04,25.88,25.88,26.04,25.88,25.88,26.04,25.88,25.88,25.88,26.81,25.88,26.81,25.88,26.81,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,26.81,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,25.88,26.67,25.88,26.67
1924,26.41,26.97,27.05,27.05,26.19,26.12,27.05,27.05,27.05,27.05,27.05,26.24,26.12,26.12,26.12,26.12,26.12,26.28,26.12,26.12,26.28,26.12,26.12,26.28,26.12,26.12,26.12,27.05,26.12,27.05,26.12,27.05,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,27.05,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.91,26.12,26.91
1925,26.24,26.96,26.88,26.88,26.02,25.95,26.88,26.88,26.88,26.88,26.88,26.07,25.95,25.95,25.95,25.95,25.95,26.11,25.95,25.95,26.11,25.95,25.95,26.11,25.95,25.95,25.95,26.88,25.95,26.88,25.95,26.88,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,26.88,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,26.74,25.95,26.74
1926,26.55,27.02,27.19,27.19,26.33,26.26,27.19,27.19,27.19,27.19,27.19,26.38,26.26,26.26,26.26,26.26,26.26,26.42,26.26,26.26,26.42,26.26,26.26,26.42,26.26,26.26,26.26,27.19,26.26,27.19,26.26,27.19,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,27.19,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,27.05,26.26,27.05
1927,26.51,26.96,27.15,27.15,26.29,26.22,27.15,27.15,27.15,27.15,27.15,26.34,26.22,26.22,26.22,26.22,26.22,26.38,26.22,26.22,26.38,26.22,26.22,26.38,26.22,26.22,26.22,27.15,26.22,27.15,26.22,27.15,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,27.15,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,26.22,27.01,26.22,27.01
1928,25.85,26.96,26.49,26.49,25.64,25.57,26.49,26.49,26.49,26.49,26.49,25.69,25.57,25.57,25.57,25.57,25.57,25.73,25.57,25.57,25.73,25.57,25.57,25.73,25.57,25.57,25.57,26.49,25.57,26.49,25.57,26.49,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,26.49,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,25.57,26.35,25.57,26.35
1929,25.64,26.98,26.28,26.28,25.43,25.36,26.28,26.28,26.28,26.28,26.28,25.48,25.36,25.36,25.36,25.36,25.36,25.52,25.36,25.36,25.52,25.36,25.36,25.52,25.36,25.36,25.36,26.28,25.36,26.28,25.36,26.28,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,26.28,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,26.14,25.36,26.14
1930,25.66,26.94,26.30,26.30,25.44,25.37,26.30,26.30,26.30,26.30,26.30,25.49,25.37,25.37,25.37,25.37,25.37,25.53,25.37,25.37,25.53,25.37,25.37,25.53,25.37,25.37,25.37,26.30,25.37,26.30,25.37,26.30,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,26.30,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,26.16,25.37,26.16
1931,25.99,26.92,26.63,26.63,25.78,25.71,26.63,26.63,26.63,26.63,26.63,25.83,25.71,25.71,25.71,25.71,25.71,25.87,25.71,25.71,25.87,25.71,25.71,25.87,25.71,25.71,25.71,26.63,25.71,26.63,25.71,26.63,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,26.63,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,25.71,26.49,25.71,26.49
